"DisplayName","DisplayVersion","Publisher","InstallDate"
"Git","2.52.0","The Git Development Community","20260128"
"Google Chrome","144.0.7559.98","Google LLC","20260129"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33816","14.40.33816.0","Microsoft Corporation",
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33816","14.40.33816.0","Microsoft Corporation",
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.40.33816","14.40.33816","Microsoft Corporation","20260123"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816","14.40.33816","Microsoft Corporation","20260123"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.40.33816","14.40.33816","Microsoft Corporation","20260123"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.40.33816","14.40.33816","Microsoft Corporation","20260123"
"Microsoft Visual Studio Code","1.108.2","Microsoft Corporation","20260124"
"VMware Tools","13.0.1.0","Broadcom Inc.","20260123"
